"","agree_rate","agree_vote","disagree_vote","valid_vote","vote_rate","is_municipality","is_offshoreIsland","location","gender_ratio","young_ratio","middle_ratio","old_ratio","young_old_ratio","age_med","married_ratio","college_ratio","salary_med"
"屏東縣春日鄉",0.325056433408578,432,897,1329,0.352026510323732,"0","0","county",1.03892060197198,0.242555357597353,0.618223466530924,0.139221175871723,1.74223034734918,43,0.651500484027105,0.122942884801549,644
"屏東縣三地門鄉",0.275801234930903,938,2463,3401,0.569747371724463,"0","0","county",0.988462737761147,0.229731848831739,0.638387956719461,0.1318801944488,1.74197384066587,45,0.651812688821752,0.152719033232628,642
"屏東縣長治鄉",0.331121333232788,4391,8870,13261,0.550845521023766,"0","0","county",1.08341915550978,0.210882543062474,0.603102779573368,0.186014677364158,1.13368765331153,48,0.657449397190576,0.29915569811599,769
"屏東縣南州鄉",0.349122807017544,1592,2968,4560,0.529802721806098,"0","0","county",1.03781693167168,0.185575706452973,0.578658793757908,0.235765499789119,0.787119856887299,50,0.679129635304934,0.248952906323424,718
"屏東縣東港鎮",0.297520229705038,5699,13456,19155,0.531459678440309,"0","0","county",1.00588563600386,0.216117772044316,0.616279658015885,0.167602569939799,1.28946574102022,45,0.64818091475386,0.261216278449718,729
"屏東縣崁頂鄉",0.324582338902148,1904,3962,5866,0.524531377343113,"0","0","county",1.00408296586641,0.218564094205851,0.59791378045799,0.183522125336158,1.19094138543517,48,0.656482569526048,0.248648648648649,686
"屏東縣內埔鄉",0.305777650866172,6425,14587,21012,0.475608730392363,"0","0","county",1.06546431977803,0.207107174341967,0.591305990512573,0.20158683514546,1.02738442315702,49,0.657244964262508,0.291991552956465,706
"屏東縣牡丹鄉",0.30586186883343,527,1196,1723,0.417014371812703,"0","0","county",1.00278293135436,0.208198239925892,0.639879573876795,0.151922186197314,1.37042682926829,46,0.672038129822969,0.187925556059918,694
"屏東縣萬丹鄉",0.306933946763063,6538,14763,21301,0.534017204103225,"0","0","county",1.07827872767218,0.223486154199701,0.59733425255659,0.179179593243709,1.2472745927921,46,0.659354810061944,0.266068692968629,727
"屏東縣潮州鎮",0.298344487495597,6776,15936,22712,0.522134183102231,"0","0","county",0.98205303094893,0.213506828691257,0.60636627594365,0.180126895365093,1.18531343283582,47,0.644654283406846,0.308898138369468,756
"屏東縣來義鄉",0.226436781609195,788,2692,3480,0.596771615790315,"0","0","county",1.00608,0.233211038443133,0.639974477588132,0.126814483968735,1.83899371069182,45,0.65938797478087,0.147931723819775,619
"屏東縣九如鄉",0.308336914482166,2870,6438,9308,0.544689525402467,"0","0","county",1.06563039723661,0.218227424749164,0.602947324414716,0.17882525083612,1.22033898305085,47,0.661393844443321,0.253449234345783,685
